text,label
I loved the service and the food was great.,positive
This product broke after one day.,negative
The delivery was on time.,neutral
Amazing quality and fast support.,positive
The staff were rude and unhelpful.,negative
"It works, but there is nothing special about it.",neutral
I am very satisfied with my purchase.,positive
The app crashes whenever I open it.,negative
The experience was okay overall.,neutral
Highly recommend this to everyone.,positive
Not worth the money.,negative
Average taste and average service.,neutral
